JahrMonat,Sudetendeutsch,Gesamt
1930-01,0,0
1930-02,0,0
1930-03,0,0
1930-04,0,0
1930-05,0,0
1930-06,0,0
1930-07,0,0
1930-08,1,696
1930-09,0,450
1930-10,1,354
1930-11,2,410
1930-12,1,415
1931-01,0,323
1931-02,1,219
1931-03,5,193
1931-04,1,235
1931-05,0,339
1931-06,1,570
1931-07,0,531
1931-08,0,603
1931-09,0,443
1931-10,0,363
1931-11,0,392
1931-12,1,511
1932-01,2,280
1932-02,0,195
1932-03,1,208
1932-04,0,344
1932-05,8,351
1932-06,3,336
1932-07,1,61
1932-08,9,167
1932-09,6,217
1932-10,10,282
1932-11,1,404
1932-12,2,278
1933-01,4,531
1933-02,3,311
1933-03,3,560
1933-04,1,76
1933-05,9,754
1933-06,6,579
1933-07,9,656
1933-08,5,409
1933-09,13,378
1933-10,15,388
1933-11,0,319
1933-12,2,211
1934-01,5,351
1934-02,0,386
1934-03,4,621
1934-04,13,439
1934-05,6,373
1934-06,0,425
1934-07,2,470
1934-08,3,1062
1934-09,1,827
1934-10,2,688
1934-11,1,898
1934-12,2,673
1935-01,3,807
1935-02,4,691
1935-03,1,390
1935-04,2,502
1935-05,15,858
1935-06,5,715
1935-07,6,496
1935-08,9,598
1935-09,9,521
1935-10,6,535
1935-11,4,550
1935-12,9,607
1936-01,4,541
1936-02,8,693
1936-03,6,1142
1936-04,14,925
1936-05,1,17
1936-06,0,17
1936-07,3,288
1936-08,13,711
1936-09,15,662
1936-10,18,800
1936-11,20,597
1936-12,22,921
1937-01,12,396
1937-02,16,473
1937-03,3,24
1937-04,0,3
1937-05,12,666
1937-06,17,806
1937-07,30,1080
1937-08,19,911
1937-09,15,686
1937-10,32,940
1937-11,17,571
1937-12,26,677
1938-01,26,844
1938-02,27,986
1938-03,36,1271
1938-04,53,1157
1938-05,40,568
1938-06,47,541
1938-07,54,890
1938-08,71,1136
1938-09,310,1505
1938-10,326,1436
1938-11,50,1286
1938-12,36,975
1939-01,25,985
1939-02,4,425
1939-03,0,0
1939-04,10,747
1939-05,1,70
1939-06,0,4
1939-07,0,0
1939-08,0,0
1939-09,0,0
1939-10,0,0
1939-11,0,56
1939-12,2,233
1940-01,0,0
1940-02,0,0
1940-03,0,0
1940-04,0,0
1940-05,0,0
1940-06,0,0
1940-07,0,0
1940-08,0,0
1940-09,0,0
1940-10,0,0
1940-11,0,0
1940-12,0,0
1941-01,0,5
1941-02,0,0
1941-03,0,0
1941-04,0,0
1941-05,0,0
1941-06,0,1
1941-07,0,0
1941-08,0,0
1941-09,0,0
1941-10,0,0
1941-11,0,0
1941-12,0,0
1942-01,0,0
1942-02,0,0
1942-03,0,0
1942-04,0,9
1942-05,0,0
1942-06,0,0
1942-07,0,0
1942-08,0,0
1942-09,0,0
1942-10,0,0
1942-11,0,0
1942-12,0,0
1943-01,0,200
1943-02,0,129
1943-03,0,112
1943-04,0,89
1943-05,0,94
1943-06,0,86
1943-07,0,112
1943-08,0,79
1943-09,0,154
1943-10,0,150
1943-11,0,74
1943-12,0,54
1944-01,0,166
1944-02,0,108
1944-03,0,161
1944-04,0,141
1944-05,1,145
1944-06,0,146
1944-07,0,51
1944-08,0,69
1944-09,0,69
1944-10,0,41
1944-11,0,45
1944-12,0,46
1945-01,0,2
1945-02,0,52
1945-03,0,50
1945-04,0,60
1945-05,0,13
1945-06,0,0
1945-07,0,0
1945-08,0,1
1945-09,0,0
1945-10,0,0
1945-11,0,0
1945-12,0,0
